번호	recipeName	ingredients
212	구운 바나나	바나나 설탕   호두 
214	과일무스 테린	딸기 키위 매실원액  젤라틴 소스 망고 우유 
215	가지볶음밥	단호박 양파 석박지 파프리카 가지 두부 밥 세발나물 양념 마늘 저염된장 들기름
216	닭고기볶음밥	쌀 완두콩 닭고기 대추 수삼 양파 당근 양념 강황가루 맛술
217	미역볶음밥	쌀 완두콩 닭고기 대추 수삼 양파 당근 양념 강황가루 맛술
218	청국장볶음밥	쌀 현미 감자 고구마 양파 연근 당근 애호박 우엉 마늘 시금치 참나물 깻잎 미나리 육수 다시마 양념 생청국장 들깻가루 올리브유 들기름
219	해물볶음밥	볶음밥 쌀 아스파라거스 새송이버섯 달걀 문어 새우살 주꾸미 미나리볶음고추장 무 우엉 미나리
220	토마토카레 채소볶음밥	감자 양파 당근 피망 닭가슴살 밥 브로콜리 방울토마토 플레인 요구르트 양념 토마토페이스트 파프리카가루 카레가루
221	구운주먹밥	현미 톳 생김 달걀 밥 밑간 참기름 참깨 톳 무침양념 설탕 식초
222	깐풍주먹밥	칵테일새우 쇠고기 참기름 찹쌀현미밥 밀가루 파인애플 부추 소스 마늘 붉은 고추 풋고추 식초 함초가루 설탕
223	닭봉주먹밥	닭봉 우유 단호박 새송이버섯 가지 주키니호박 당근 양파 시래기 치즈 밥 새싹채소 양념 참기름 간장 소스 레몬즙 마요네즈 꿀 부순 참깨
224	봄주먹밥	봄동 깻잎 낙지 다리 참기름 두릅 올리브유 미나리 주먹밥 데친 꼬막살 올리브유 밥 참깨 두부강된장 참기름 양파 당근 애호박 물 된장 고춧가루 마늘 송송 썬 붉은 고추 송송 썬 청양고추 으깬 두부
225	깻잎장아찌롤	쌀 깻잎장아찌 김 새싹 밥 밑간 참기름 참깨 허브타르타르드레싱 양파 피클 삶은 달걀 마요네즈 머스터드소스 설탕 물 머스터드소스
226	참치비빔밥롤	멥쌀 완두콩 달걀 주키니호박 당근 가지 참치 김밥용 김 케일 참치밑간 올리브유 사과드레싱 식초 굵게 사과 로즈마리 꿀 토마토소스 토마토 고추
227	새싹참치김밥	파프리카 파인애플 달걀 김 밥 새싹채소 참치 소스 저염간장 마요네즈 설탕
228	연어주먹밥튀김	당근 피망 양파 밥 마요네즈 통조림 연어캔 식초 데리야키소스 달걀 빵가루 어린잎채소 오리엔탈소스 식초 레몬즙 간장 마늘 꿀 올리브유 참깨
229	오징어불고기김밥	오징어 몸통 파프리카 당근 피망 밥 채 썬 쇠고기우둔살 달걀 김 깻잎 새송이버섯 양념 참기름 고추장 매실청
230	닭가슴살청포묵비빔밥	닭가슴살 양배추 청포묵 숙주 쌀 달걀지단 무순 닭고기 삶는 된장 마늘 비빔소스 저염간장 참기름
231	두부달걀덮밥	두부 가지 표고버섯 양파 달걀 밥 가다랑어포 육수 물 다시마 가다랑어포 양념 녹말가루 청주 설탕 간장 녹말물
232	봄나물밥	현미 멥쌀 쑥갓 달래 두부양념장 고추장 된장 다시마 육수 두부
233	가지연어구이	가지 토마토 연어 파슬리가루 올리브유 마늘 소스 사과 유자청 레몬즙
234	갈릭칩동태구이	동태포 통마늘 양념 맛술 저염된장
235	고구마두부스테이크	스테이크 두부 고구마 마늘 대파 양파 견과류 찹쌀가루 청국장소스 양송이버섯 다시마육수 청국장 유 자청 녹말가루
236	닭가슴살카나페	고구마 우유 백김치 비트 닭가슴살 새싹 바나나식초
237	삼색꼬치구이	돼지고기목살 파인애플 브로콜리 방울토마토 배사과소스 배 사과 레몬즙 꿀
238	꽁치채소말이	꽁치살 마늘종 양파 파프리카 밀가루 깻잎 무순 새싹 오렌지소스 오렌지 레몬즙 설탕 고운
239	차돌박이구이	연근 미나리 오렌지 오렌지주스 차돌박이 어린잎채소 홍초물 설탕 홍초 물
240	간장아귀찜	아귀 새우 미나리 풋고추 붉은 고추 콩나물무침 콩나물 참기름 참깨 간장소스 설탕 저염간장 청주 다시마물 아귀찜양념 양파 생강 마늘
241	견과류통삼겹살찜	돼지고기통삼겹살 땅콩 아몬드 말린 자두 호두 새우젓 마늘 파프리카 부추 돼지고기 밑간 간장 참기름 양념 들기름 고춧가루 소스 설탕 맛술 간장 닭육수 마늘 양파 생강 당근
242	닭가슴살말이	닭가슴살 당근 시금치 마른 표고버섯 간장 참기름 견과류 단촛물 설탕 식초 겨자소스 설탕 발효겨자 식초 잣 땅콩 참깨
243	두부말이찜	두부 불린 표고버섯 닭가슴살 톳 깻잎 참기름 반죽양념 파 마늘 부순 참깨 레몬소스 설탕 레몬즙 간장 식초
244	미나리명태찜	미나리 명태 레몬소스 설탕 레몬 식초 저염간장
245	계만두	배추 오이 표고버섯 피망 당근 녹말가루 닭가슴살 마늘 대파 삶은 메추리 양념 참기름 간장 빠금장소스 빠금장 휘핑크림 우유 청양고추 참깨
246	삼계선	닭가슴살 두부 수삼 파프리카 대추 블루베리소스 블루베리잼 화이트와인 설탕
247	쇠고기표고찜	표고버섯 밀가루 달걀 잣 대추 단호박 피클 소 쇠고기 대파 마늘 양파 파프리카 으깬 두부 오렌지소스 오렌지주스 유자청
248	떡갈비찜	돼지고기 쇠고기 가지 가래떡 유자청 간장 연근 고기 밑간 파 마늘 양파 참기름
249	해산물두부샌드	두부 새우 관자 파프리카 새싹채소 완두콩드레싱 삶은 완두콩 두유 꿀 검은깨
250	단호박제육볶음	돼지고기불고기용 단호박 죽순 양파 대파 마른 표고버섯 양념장 저염간장 고추장 고춧가루 된장육수 된장 물 양념 마늘 부순 참깨 참기름
251	버섯콩불고기	콩고기 양파 당근 양배추 깻잎 느타리버섯 표고버섯 새송이버섯 부추 미나리 청양고추 양념장 설탕 저염진간장 맛술 배 양파 매실액 참기름 양념 들기름 파 마늘 생강
252	차돌박이볶음	차돌박이 파프리카 양파 부추 해초 소스 발사믹식초 매실청 올리브유 소스 마요네즈 연겨자 소스 유자청 식초 고기 밑간 설탕 저염 간장 배 양파 해초 밑간 설탕 식초
253	토마토오리볶음	오리고기 가지 양파 파프리카 새송이버섯 브로콜리 부추 방울토마토 식용유 고기 밑간 맛술 토마토고추장소스 토마토 양파 풋고추 고추장 물엿
254	토마토두루치기	양배추 양파 표고버섯 양송이버섯 파프리카 피망 대파 마늘 토마토 비트 식용유 돼지고기 양념 설탕 간장 생강 고추장 물엿
255	검은콩피시볼조림	피시볼반죽 검은콩 쪽파 동태포 감자전분 밀가루 청양고추 달걀흰자 소스 마늘 녹말가루 가다랑어장국 간장 물 유자청 대파
256	대하조림	대하 화이트와인 시금치 유자청 매실액 아보카도 토마토 닭육수 닭다리 월계수잎 물
257	묵은지가지말이	돼지고기 가지 김치 청피망 붉은피망 양파 생강 마늘 올리브유 레몬 레드와인 올리고당 고기 삶는 양파 월계수잎 정향 마늘 생강 물
258	두부곤약조림	곤약 두부 가지 애호박 꽈리고추 조림장 감자전분 저염간장 물 마늘 유자청 고추기름
259	아귀나가사키조림	미나리 숙주 양파 대파 청양고추 붉은 고추 아스파라거스 문어 꽃게 조개 전복 소라 새우 아귀 녹말물 육수 마늘 대파 통후추 양파 가다랑어포
